file;original;cityjson;geojson;geoobj;geoobj-origin;geooff;geooff-origin;geoply;geoply-origin;geostl;geostl-origin;geovrml;geovrml-origin;gml;kml
alligator.obj;184,07;308,53;1402,25;278,69;184,16;272,42;177,89;272,57;178,04;1396,25;877,53;1298,15;779,87;2202,64;2237,52
armadillo.obj;3608,54;5279,43;23622,39;4791,05;3608,62;4693,41;3510,98;4693,56;3511,14;23476,92;16381,74;22142,54;15047,79;36998,27;37583,91
beast.obj;3332,12;2850,39;9550,49;4087,92;3332,20;2566,04;1810,32;2566,19;1810,48;9686,46;6660,98;9516,06;6491,00;13723,15;13944,12
beetle-alt.obj;1364,18;2037,85;9120,80;1847,80;1364,26;1808,95;1325,41;1809,10;1325,57;9067,75;6249,00;8517,67;5699,35;14292,74;14519,08
beetle.obj;125,25;105,10;485,01;155,55;125,33;92,38;62,16;92,53;62,32;599,52;437,23;444,46;282,61;759,87;771,74
cheburashka.obj;420,93;667,26;3148,23;601,94;421,01;588,91;407,98;589,06;408,14;3129,51;2044,29;2914,98;1830,20;4932,36;5010,33
cow.obj;182,93;286,76;1369,35;258,21;183,01;252,53;177,33;252,68;177,49;1361,40;909,95;1264,59;813,57;2146,05;2179,90
fandisk.obj;391,15;646,64;3047,66;583,21;391,23;570,56;378,58;570,71;378,73;3031,65;1879,89;2823,32;1671,99;4779,88;4855,58
happy.obj;3443,42;5200,30;23271,05;4718,75;3443,50;4622,54;3347,30;4622,69;3347,45;23134,59;15475,17;21818,18;14159,19;36462,98;37040,56
homer.obj;378,70;600,33;2832,50;541,53;378,78;529,80;367,05;529,95;367,21;2815,80;1839,43;2622,71;1646,77;4438,16;4508,31
horse.obj;4847,43;5161,59;23251,47;4687,92;4847,51;4593,21;4752,80;4593,36;4752,96;23025,46;23982,47;21729,74;22687,18;36224,65;36792,65
igea.obj;9716,50;14490,75;63413,22;13178,60;9716,58;12916,19;9454,18;12916,34;9454,33;63040,76;42268,45;59765,41;38993,53;99360,66;100934,83
lucy.obj;3728,41;5310,72;23867,91;4822,38;3728,49;4724,74;3630,85;4724,89;3631,01;23660,91;17097,44;22327,21;15764,17;37242,99;37828,60
max-planck.obj;3628,48;5296,99;23729,97;4808,40;3628,57;4710,58;3530,75;4710,73;3530,91;23558,65;16499,04;22223,06;15163,88;37107,86;37693,59
nefertiti.obj;3621,60;5288,27;23695,48;4800,08;3621,68;4702,47;3524,07;4702,62;3524,23;23529,73;16459,26;22196,35;15126,31;37066,29;37651,70
ogre.obj;3820,09;6569,39;29260,92;5963,30;3820,17;5841,82;3698,69;5841,97;3698,85;29090,92;16271,91;27450,40;14631,82;45852,03;46578,48
rocker-arm.obj;666,93;1008,57;4742,64;910,28;667,02;890,65;647,39;890,80;647,55;4714,26;3254,51;4394,58;2935,25;7430,39;7547,93
spot.obj;334,84;289,43;1380,09;409,11;334,92;254,89;180,70;255,04;180,86;1372,51;927,39;1275,06;830,38;2163,75;2197,91
stanford-bunny.obj;2442,78;3719,00;16390,43;3377,29;2442,86;3307,08;2372,64;3307,23;2372,80;16294,39;10877,71;15350,55;9934,31;25682,41;26089,19
suzanne.obj;48,62;41,65;149,19;62,89;48,70;37,04;22,85;37,19;23,01;175,03;119,80;144,37;89,58;213,99;217,22
teapot.obj;202,44;341,20;1489,62;309,19;202,52;302,07;195,40;302,22;195,55;1481,45;937,85;1377,36;834,20;2335,36;2372,23
woody.obj;36,33;63,44;297,24;56,92;36,42;55,56;35,06;55,71;35,22;295,92;186,12;272,52;163,16;466,95;474,21
xyzrgb_dragon.obj;9283,49;13455,47;59107,69;12234,45;9283,57;11990,17;9039,29;11990,32;9039,44;58735,04;41041,19;55643,17;37949,76;92555,01;94019,69
