file,vertices,original,cityjson,geojson,geoobj,geoobj-origin,geooff,geooff-origin,geoply,geoply-origin,geostl,geostl-origin,geovrml,geovrml-origin,gml,kml
alligator.obj,3208,184.07,308.59,1402.25,278.69,184.16,272.42,177.89,272.57,178.04,1396.25,877.53,319.46,225.36,2202.64,2237.52
armadillo.obj,49990,3608.54,5279.48,23622.39,4791.05,3608.63,4693.41,3510.98,4693.56,3511.14,23476.92,16381.74,5426.15,4244.15,36998.27,37583.91
beast.obj,32311,1873.35,2850.45,9550.49,2629.15,1873.44,2566.04,1810.33,2566.19,1810.48,9686.46,6660.98,3008.32,2253.03,13723.15,13944.12
beetle-alt.obj,19887,1364.18,2037.91,9120.80,1847.80,1364.26,1808.95,1325.41,1809.10,1325.57,9067.75,6249.00,2099.64,1616.53,14292.74,14519.08
beetle.obj,1148,64.34,105.13,485.01,94.64,64.42,92.38,62.16,92.53,62.32,482.03,319.74,109.43,79.64,759.87,771.75
cheburashka.obj,6669,420.93,667.32,3148.23,601.94,421.01,588.91,407.98,589.06,408.14,3129.51,2044.29,687.07,506.57,4932.36,5010.33
cow.obj,2903,182.93,286.82,1369.35,258.21,183.01,252.53,177.33,252.68,177.49,1361.40,909.95,295.53,220.75,2146.05,2179.90
fandisk.obj,6475,391.15,646.70,3047.66,583.21,391.23,570.56,378.58,570.71,378.73,3031.65,1879.89,665.88,474.32,4779.88,4855.58
happy.obj,49251,3443.42,5200.36,23271.05,4718.75,3443.51,4622.54,3347.30,4622.69,3347.45,23134.59,15475.17,5344.56,4069.74,36462.98,37040.56
homer.obj,6002,378.70,600.39,2832.50,541.53,378.78,529.80,367.06,529.95,367.21,2815.80,1839.43,618.19,455.87,4438.16,4508.31
horse.obj,48485,4382.41,5150.79,23164.35,4677.06,4382.50,4582.36,4287.79,4582.51,4287.94,22960.07,21192.62,5293.05,4998.91,36137.53,36705.53
igea.obj,134345,9716.50,14490.80,63413.22,13178.60,9716.58,12916.19,9454.18,12916.34,9454.33,63040.76,42268.45,14884.60,11423.02,99360.66,100934.83
lucy.obj,49987,3728.41,5310.78,23867.91,4822.38,3728.49,4724.74,3630.85,4724.89,3631.01,23660.91,17097.44,5457.44,4363.98,37242.99,37828.60
max-planck.obj,50077,3628.48,5297.05,23729.97,4808.40,3628.57,4710.58,3530.75,4710.73,3530.91,23558.65,16499.04,5444.44,4265.04,37107.86,37693.59
nefertiti.obj,49971,3621.60,5288.33,23695.48,4800.08,3621.68,4702.47,3524.08,4702.62,3524.23,23529.73,16459.26,5434.94,4256.97,37066.29,37651.70
ogre.obj,62194,3820.09,6569.44,29260.92,5963.30,3820.17,5841.82,3698.69,5841.97,3698.85,29090.92,16271.91,6752.97,4610.26,45852.03,46578.48
rocker-arm.obj,10044,666.93,1008.63,4742.64,910.28,667.02,890.65,647.39,890.80,647.55,4714.26,3254.51,1038.25,795.42,7430.39,7547.93
spot.obj,2930,186.33,289.49,1380.09,260.62,186.41,254.89,180.68,255.04,180.84,1372.51,927.27,298.28,224.50,2163.75,2197.91
stanford-bunny.obj,35947,2442.78,3719.06,16390.43,3377.29,2442.86,3307.08,2372.64,3307.23,2372.80,16294.39,10877.71,3757.36,2852.21,25682.41,26089.19
suzanne.obj,507,23.76,41.71,149.19,38.03,23.84,37.04,22.85,37.19,23.01,150.40,95.17,44.44,30.68,213.99,217.22
teapot.obj,3644,202.44,341.26,1489.62,309.19,202.52,302.07,195.40,302.22,195.55,1481.45,937.85,354.97,248.73,2335.36,2372.23
woody.obj,694,36.33,63.50,297.24,56.92,36.42,55.56,35.06,55.71,35.22,295.92,186.12,66.09,46.01,466.95,474.21
xyzrgb_dragon.obj,125066,9283.49,13455.53,59107.69,12234.45,9283.57,11990.17,9039.29,11990.32,9039.44,58735.04,41041.19,13822.53,10872.08,92555.01,94019.69
